voltage,current,active_power,reactive_power,apparent_power,power_factor,timestamp,reliable,device_id,load_type,probe_id,frequency,energy,temperature,bulb,fan,iron,labels
233.67,0.16672,33.11386,20.52213,38.95749,0.85,2025-12-09T19:10:17.716353,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.189477,37.63374,23.32329,44.27498,0.85,2025-12-09T19:10:20.768816,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.21294,42.29399,26.21146,49.75764,0.85,2025-12-09T19:10:23.809054,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.083022,0,0,19.39967,0,2025-12-09T19:10:26.846224,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.121276,24.08776,14.92825,28.33854,0.85,2025-12-09T19:10:29.878875,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.209767,41.66384,25.82092,49.01628,0.85,2025-12-09T19:10:32.975057,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.029926,0,0,6.992872,0,2025-12-09T19:10:35.972380,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.216562,43.01337,26.65729,50.60396,0.85,2025-12-09T19:10:39.014119,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.199107,39.54644,24.50868,46.52523,0.85,2025-12-09T19:10:42.037286,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.265885,52.81001,32.7287,62.12942,0.85,2025-12-09T19:10:45.082123,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.083197,0,0,19.44075,0,2025-12-09T19:10:48.124439,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.164957,32.76373,20.30513,38.54556,0.85,2025-12-09T19:10:51.174124,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.25172,49.99654,30.98507,58.81946,0.85,2025-12-09T19:10:54.229295,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.169121,33.59064,20.81761,39.51841,0.85,2025-12-09T19:10:57.255490,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.18287,36.32153,22.51006,42.73121,0.85,2025-12-09T19:11:00.288625,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.199888,39.70171,24.60491,46.70789,0.85,2025-12-09T19:11:03.337107,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.260318,51.70429,32.04343,60.82857,0.85,2025-12-09T19:11:06.398627,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.099862,0,0,23.33482,0,2025-12-09T19:11:09.415927,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.127374,25.29897,15.67889,29.76349,0.85,2025-12-09T19:11:12.990589,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.160878,31.95346,19.80298,37.59231,0.85,2025-12-09T19:11:15.504560,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.261602,51.95929,32.20147,61.12857,0.85,2025-12-09T19:11:18.535147,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.030525,0,0,7.132821,0,2025-12-09T19:11:21.588353,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.207594,41.23227,25.55347,48.50856,0.85,2025-12-09T19:11:24.623563,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.080392,0,0,18.78522,0,2025-12-09T19:11:27.656990,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.122879,24.40608,15.12553,28.71303,0.85,2025-12-09T19:11:30.684190,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.145047,28.80907,17.85426,33.89303,0.85,2025-12-09T19:11:33.736697,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.21351,42.40732,26.28169,49.89096,0.85,2025-12-09T19:11:36.786120,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.183839,36.5141,22.62941,42.95776,0.85,2025-12-09T19:11:39.826196,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.258153,51.27413,31.77685,60.32251,0.85,2025-12-09T19:11:42.856886,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.087051,0,0,20.34126,0,2025-12-09T19:11:45.914129,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.084457,0,0,19.73506,0,2025-12-09T19:11:48.954357,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.125447,24.91617,15.44166,29.31314,0.85,2025-12-09T19:11:51.995500,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.155727,30.93048,19.16899,36.38879,0.85,2025-12-09T19:11:55.036239,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
